year,Sex,winner,dogs,time
2025,1,MEN'S Joey Chestnut,70,10 min
2025,0,WOMEN'S Miki Sudo,33,10 min
2024,1,MEN'S Patrick Bertoletti,58,10 min
2024,0,WOMEN'S Miki Sudo,51,10 min
2023,1,MEN'S Joey Chestnut,62,10 min
2023,0,WOMEN'S Miki Sudo,39.5,10 min
2022,1,MEN'S Joey Chestnut,63,10 min
2022,0,WOMEN'S Miki Sudo,40,10 min
2021,1,MEN'S Joey Chestnut,76,10 min
2021,0,WOMEN'S Michelle Lesco,30.75,10 min
2020,1,MEN'S Joey Chestnut,75,10 min
2020,0,WOMEN'S Miki Sudo,48.5,10 min
2019,1,MEN'S Joey Chestnut,71,10 min
2019,0,WOMEN'S Miki Sudo,31,10 min
2018,1,MEN'S Joey Chestnut,74,10 min
2018,0,WOMEN'S Miki Sudo,37,10 min
2017,1,MEN'S Joey Chestnut,72,10 min
2017,0,WOMEN'S Miki Sudo,41,10 min
2016,1,MEN'S Joey Chestnut,70,10 min
2016,0,WOMEN'S Miki Sudo,38.5,10 min
2015,1,MEN'S Matt Stonie,62,10 min
2015,0,WOMEN'S Miki Sudo,38,10 min
2014,1,MEN'S Joey Chestnut,61,10 min
2014,0,WOMEN'S Miki Sudo,34,10 min
2013,1,MEN'S Joey Chestnut,69,10 min
2013,0,WOMEN'S Sonya Thomas,36.75,10 min
2012,1,MEN'S Joey Chestnut,68,10 min
2012,0,WOMEN'S Sonya Thomas,45,10 min
2011,1,MEN'S Joey Chestnut,62,10 min
2011,0,WOMEN'S Sonya Thomas,40,10 min
2010,1,Joey Chestnut,54,10 min
2009,1,Joey Chestnut,68,10 min
2008,1,Joey Chestnut,59,10 min
2007,1,Joey Chestnut,66,12 min
2006,1,Takeru Kobayashi,53.75,12 min
2005,1,Takeru Kobayashi,49,12 min
2004,1,Takeru Kobayashi,53.5,12 min
2003,1,Takeru Kobayashi,44.5,12 min
2002,1,Takeru Kobayashi,50.5,12 min
2001,1,Takeru Kobayashi,50,12 min
2000,1,Kazutoyo Arai,25.125,12 min
1999,1,Steve Keiner,21.5,12 min
1998,1,Hirofumi Nakajima,19,12 min
1997,1,Hirofumi Nakajima,24.5,12 min
1996,1,ONE-ON-ONE CHALLENGE WITH JAPAN Hirofumi NakajimaDecember 4,23.25,12 min
1996,1,Ed KrachieIndependence Day,22,12 min
1995,1,Ed KrachieIndependence Day,19.5,12 min
1994,1,Mike DeVitoIndependence Day,20,12 min
1993,1,ONE-ON-ONE CHALLENGE WITH JAPAN Mike DeVitoOctober 27[56],18,30 min
1993,1,Mike DeVitoIndependence Day,17,12 min
1992,1,Frankie DellarosaIndependence Day,19,12 min
1991,1,Frankie DellarosaIndependence Day,21,12 min
1990,1,Mike DeVito Jay GreenIndependence Day,15,12 min
1989,1,Jay GreenIndependence Day,15.5,12 min
1988,1,Jay GreenIndependence Day,10,12 min
1987,1,Don WolfmanIndependence Day,13.5,10 min
1986,1,Mark HellerIndependence Day,15.5,10 min
1986,1,ONE-ON-ONE CHALLENGE WITH JAPAN Hiroaki TominagaFebruary 11,10.5,10 min
1985,1,Oscar RodriguezIndependence Day,11.75,12 min
1984,1,Birgit FeldenIndependence Day,9.5,10 min
1983,1,Emil GomezIndependence Day,10.5,10 min
1982,1,Steven AbramsIndependence Day(observed July 5),11,10 min
1981,1,Thomas DeBerryIndependence Day,11,5 min
1980,1,Joe Baldini Paul SiedermanIndependence Day,9.75,10 min
1979,1,Luther Frazier Jim MattnerIndependence Day,10,10 min
1978,1,Manel Hollenback Kevin SinclairMemorial Day,10,6.5 min
1975,1,MEN'S Lonnie BrownMemorial Day,8,3.5 min
1975,0,WOMEN'S Sharlene SmithMemorial Day,8.5,3.5 min
1974,1,Roberto MurielIndependence Day,10,3.5 min
1974,1,John ConnollyOpening day of Coney Island's summer season(April 7),9,2.5 min
1972,0,Melody AndorferLabor Day,12,5 min
1972,1,Jason SchechterMemorial Day,14,3.5 min
