"","recoded_forms","A","B","C","D","E","F"
"1","Other bare hand routines",7.37741935483871,8.295,8.39217391304348,8.81526315789474,8.65518518518519,8.53352941176471
"2","Double weapon routines",7.61666666666667,8.453,8.46,8.64857142857143,8.54285714285714,8.42666666666667
"3","Fifth type bare hand routines Shaolinquan",7.23428571428571,8.32210526315789,8.37107142857143,8.63132075471698,8.58615384615385,8.48692307692308
"4","First type bare hand routines Bajiquan",7.35,8.36142857142857,8.459,8.70230769230769,8.49166666666667,8.4575
"5","Fourth type bare hand routine Chaquan",7.348,8.38866666666667,8.459,8.78166666666667,8.49166666666667,8.4575
"6","Nanquan type routines Cailifoquan (Choy Lay Fut)",7.47833333333333,8.40357142857143,8.57,8.69888888888889,8.66666666666667,8.506
"7","Nanquan type routines Other routines",7.555,8.40357142857143,8.52,8.60138888888889,8.58555555555555,8.50923076923077
"8","Single weapon routines Dao (Broadsword)",7.39529411764706,8.41590909090909,8.4224,8.68459459459459,8.45,8.42666666666667
"9","Single weapon routines Pudao",7.45,8.345,8.55083333333333,8.70181818181818,8.49833333333333,8.506
"10","Single weapon routines Gun (Cudgel/Staff)",7.2835,8.39681818181818,8.406,8.56307692307692,8.49166666666667,8.4575
"11","Single weapon routines Jian (Straight Sword)",7.59,8.40357142857143,8.42142857142857,8.67342857142857,8.54058823529412,8.42666666666667
"12","Single weapon routines Other routines",7.615,8.38714285714286,8.49166666666667,8.65916666666667,8.513,8.50923076923077
"13","Single weapon routines Taiji weapon",7.43,8.44222222222222,8.435,8.62666666666667,8.45,8.41607142857143
"14","Single/Soft weapon routines Others",7.55,8.44222222222222,8.455,8.68428571428571,8.54058823529412,8.42666666666667
"15","Taijiquan type routines Other routines",7.41166666666667,8.35933333333333,8.48833333333333,8.69071428571429,8.43052631578947,8.48692307692308
"16","Third type bare hand routines",7.38642857142857,8.39846153846154,8.47357142857143,8.63416666666667,8.50375,8.4575
"17","Other weapon routines",7.47875,8.4725,8.455,8.68428571428571,8.54285714285714,8.42666666666667
"18","Nanquan type routines",7.43,8.4424,8.46,8.62727272727273,8.50375,8.42666666666667
"19","Second type bare hand routine",7.47875,8.435,8.455,8.68428571428571,8.45,8.41607142857143
"20","Single weapon routines 42 posture Taijijian",7.41166666666667,8.43909090909091,8.51666666666667,8.62142857142857,8.63857142857143,8.451
"21","Single weapon routines Qiang (Spear)",7.39529411764706,8.50333333333333,8.455,8.62727272727273,8.63285714285714,8.451
"22","Taijiquan type routines 42 posture Taijiquan",7.45,8.38636363636364,8.48833333333333,8.588,8.5475,8.53333333333333
"23","Double weapon routines Other routines",7.43,8.39846153846154,8.404375,8.51705882352941,8.49166666666667,8.4575
"24","Double weapon routines Shuangdao (Double Broadsword)",7.43,8.39846153846154,8.452,8.63538461538462,8.50375,8.42666666666667
"25","Double weapon routines Shuangjian (Double Straight Sword)",7.47833333333333,8.39846153846154,8.49166666666667,8.645,8.6025,8.451
"26","First type bare hand routines",7.55,8.4424,8.53428571428571,8.67428571428571,8.7425,8.42666666666667
"27","Flexible/Soft weapon routines",7.47833333333333,8.39846153846154,8.47666666666667,8.68428571428571,8.57689655172414,8.4575
"28","Flexible/Soft weapon routines Jiujiebian",7.47833333333333,8.44222222222222,8.455,8.68428571428571,8.45,8.41607142857143
"29","Nanquan type routines Hongjiaquan (Hung Gar)",7.47833333333333,8.40357142857143,8.525,8.67428571428571,8.72571428571429,8.506
"30","Nanquan type routines Yongchunquan (Wing Chun)",7.43,8.39846153846154,8.41666666666667,8.61,8.49166666666667,8.42666666666667
"31","Single weapon routines Nandao (Southern Broadsword)",7.47833333333333,8.38866666666667,8.53666666666667,8.922,8.66666666666667,8.506
"32","Single weapon routines Other Taijijian",7.47833333333333,8.40357142857143,8.39285714285714,8.725,8.44285714285714,8.42666666666667
"33","Single weapon routines Taijishan",7.555,8.38714285714286,8.49166666666667,8.67428571428571,8.565,8.506
"34","Taijiquan type routines",7.47833333333333,8.44222222222222,8.47,8.68428571428571,8.54285714285714,8.42666666666667
"35","Taijiquan type routines Other Taijiquan",7.47833333333333,8.44222222222222,8.4275,8.62666666666667,8.5475,8.42666666666667
"36","Third type bare hand routines Other routines",7.43,8.39846153846154,8.29666666666667,9.045,8.50375,8.4575
"37","Third type bare hand routines Yingzhaoquan (Eagle Style)",7.47833333333333,8.39846153846154,8.466,8.75375,8.55368421052632,8.4575
"38","Double weapon routines Shuangbishou (Double Daggers)",7.47833333333333,8.39846153846154,8.466,8.62666666666667,8.58555555555555,8.42666666666667
"39","First type bare hand routines Baguazhang",7.47833333333333,8.39846153846154,8.466,8.61153846153846,8.58555555555555,8.42666666666667
"40","First type bare hand routines Other routines",7.47833333333333,8.39846153846154,8.47666666666667,8.84166666666667,8.66666666666667,8.451
"41","Flexible/Soft weapon routines Jiujiebian (Nine Section Whip Chain)",7.47875,8.39846153846154,8.466,8.72222222222222,8.55368421052632,8.4575
"42","Flexible/Soft weapon routines Other routines",7.555,8.40357142857143,8.52,8.62444444444444,8.6025,8.506
"43","Fourth type bare hand routine Huaquan",7.47833333333333,8.39846153846154,8.47666666666667,8.832,8.66666666666667,8.451
"44","Nanquan type routines Huquan",7.47833333333333,8.39846153846154,8.47666666666667,8.95571428571428,8.66666666666667,8.451
"45","Second type bare hand routine Fanziqua",7.47833333333333,8.39846153846154,8.47666666666667,8.87,8.66666666666667,8.451
"46","Single weapon routines Chen Style Taijijian",7.555,8.38714285714286,8.52,8.7225,8.55368421052632,8.50923076923077
"47","Single weapon routines Nangun (Southern Staff/Cudgel)",7.47833333333333,8.39846153846154,8.47666666666667,8.780625,8.66666666666667,8.451
"48","Single weapon routines Other Taiji weapon",7.47833333333333,8.38636363636364,8.51666666666667,8.49153846153846,8.51090909090909,8.55
"49","Single weapon routines Shanzi (Fan)",7.555,8.40357142857143,8.42142857142857,8.53818181818182,8.54666666666667,8.506
"50","Taijiquan type routines Chen Style",7.555,8.40357142857143,8.52,8.64857142857143,8.57689655172414,8.506
"51","Taijiquan type routines Yang Style",7.47833333333333,8.38636363636364,8.48833333333333,8.63333333333333,8.45642857142857,8.41060606060606
"52","Third type bare hand routines Drunken Fist",7.47833333333333,8.39846153846154,8.47666666666667,8.9,8.66666666666667,8.451
"53","Third type bare hand routines Tanglangquan (Mantis Style)",7.55,8.38714285714286,8.525,8.825,8.75166666666667,8.506
"54","Single weapon routines Taijidao",7.55,8.4424,8.46,8.67342857142857,8.444,8.41607142857143
"55","Single weapon routines Yang Style Taijijian",7.55,8.4424,8.49166666666667,8.65916666666667,8.483,8.41607142857143
"56","24 type Taijiquan",7.47875,8.44222222222222,8.455,8.68428571428571,8.483,8.4575
"57","Single weapon routines 32 Style Taijijian",7.47875,8.44222222222222,8.455,8.62666666666667,8.5475,8.3625
