name,gender,lane
Aatrox,male,top
Ahri,female,mid
Akali,female,mid
Akshan,male,mid
Alistar,male,support
Ambessa,female,mid
Amumu,male,jungle
Anivia,female,mid
Annie,female,mid
Aphelios,male,bottom
Ashe,female,bottom
Aurelion Sol,male,mid
Aurora,female,mid
Azir,male,mid
Bard,male,support
Bel'Veth,female,jungle
Blitzcrank,male,support
Brand,male,support
Braum,male,support
Briar,female,jungle
Caitlyn,female,bottom
Camille,female,top
Cassiopeia,female,mid
Corki,male,mid
Darius,male,top
Diana,female,jungle
Draven,male,bottom
Dr. Mundo,male,top
Ekko,male,jungle
Elise,female,jungle
Evelynn,female,jungle
Ezreal,male,bottom
Fiddlesticks,male,jungle
Fiora,female,top
Fizz,male,mid
Galio,male,mid
Gangplank,male,top
Garen,male,top
Gnar,male,top
Gragas,male,jungle
Graves,male,jungle
Gwen,female,top
Hecarim,male,jungle
Heimerdinger,male,support
Hwei,male,mid
Illaoi,female,top
Irelia,female,top
Ivern,male,jungle
Janna,female,support
Jarvan IV,male,jungle
Jax,male,top
Jayce,male,top
Jhin,male,bottom
Jinx,female,bottom
Kai'Sa,female,bottom
Kalista,female,bottom
Karma,female,support
Karthus,male,jungle
Kassadin,male,mid
Katarina,female,mid
Kayle,female,top
Kayn,male,jungle
Kennen,male,top
Kha'Zix,male,jungle
Kindred,male,jungle
Kled,male,top
Kog'Maw,male,bottom
K'Sante,male,top
LeBlanc,female,mid
Lee Sin,male,jungle
Leona,female,support
Lillia,female,jungle
Lissandra,female,mid
Lucian,male,bottom
Lulu,female,support
Lux,female,support
Malphite,male,top
Malzahar,male,mid
Maokai,male,support
Master Yi,male,jungle
Mel,female,mid
Milio,male,support
Miss Fortune,female,bottom
Wukong,male,jungle
Mordekaiser,male,top
Morgana,female,support
Naafiri,female,mid
Nami,female,support
Nasus,male,top
Nautilus,male,support
Neeko,female,support
Nidalee,female,jungle
Nilah,female,bottom
Nunu & Willump,male,jungle
Olaf,male,top
Orianna,female,mid
Ornn,male,top
Pantheon,male,top
Poppy,female,top
Pyke,male,support
Qiyana,female,mid
Quinn,female,top
Rakan,male,support
Rammus,male,jungle
Rek'Sai,female,jungle
Rell,female,support
Renata Glasc,female,support
Renekton,male,top
Rengar,male,jungle
Riven,female,top
Rumble,male,top
Ryze,male,mid
Samira,female,bottom
Sejuani,female,jungle
Senna,female,support
Seraphine,female,support
Sett,male,top
Shaco,male,jungle
Shen,male,top
Shyvana,female,jungle
Singed,male,top
Sion,male,top
Sivir,female,bottom
Skarner,male,jungle
Smolder,male,bottom
Sona,female,support
Soraka,female,support
Swain,male,support
Sylas,male,mid
Syndra,female,mid
Tahm Kench,male,top
Taliyah,female,jungle
Talon,male,mid
Taric,male,support
Teemo,male,top
Thresh,male,support
Tristana,female,bottom
Trundle,male,top
Tryndamere,male,top
Twisted Fate,male,mid
Twitch,male,bottom
Udyr,male,jungle
Urgot,male,top
Varus,male,bottom
Vayne,female,bottom
Veigar,male,mid
Vel'Koz,male,support
Vex,female,mid
Vi,female,jungle
Viego,male,jungle
Viktor,male,mid
Vladimir,male,mid
Volibear,male,top
Warwick,male,jungle
Xayah,female,bottom
Xerath,male,support
Xin Zhao,male,jungle
Yasuo,male,mid
Yone,male,mid
Yorick,male,top
Yunara,male,bottom
Yuumi,female,support
Zaahen,male,top
Zac,male,jungle
Zed,male,mid
Zeri,female,bottom
Ziggs,male,bottom
Zilean,male,support
Zoe,female,mid
Zyra,female,support
